session,order_fast_to_slow,setting,dataset,backbone,method,method_label,seeds,batch_size,estimated_minutes_t4_per_seed,estimated_minutes_t4_all_seeds,estimated_session_hours_t4
15,4,DTD / ViT-B16,dtd,vit_b_16@torchvision,trso,Proposal,"0,1,2",8,52,156,7.8
16,1,DTD / Swin-T,dtd,swin_t@torchvision,linear,Linear,"0,1,2",32,17,51,7.65
16,2,Flowers / ViT-B16,flowers102,vit_b_16@torchvision,repadapter,RepAdapter,"0,1,2",16,37,111,7.65
16,3,DTD / ViT-B16,dtd,vit_b_16@torchvision,arc,ARC,"0,1,2",8,48,144,7.65
16,4,DTD / ViT-B16,dtd,vit_b_16@torchvision,convpass,ConvPass,"0,1,2",8,51,153,7.65
17,1,Pet / Swin-T,oxfordiiitpet,swin_t@torchvision,linear,Linear,"0,1,2",32,17,51,7.65
17,2,Flowers / ViT-B16,flowers102,vit_b_16@torchvision,fact_tt,FacT-TT,"0,1,2",16,36,108,7.65
17,3,DTD / Swin-T,dtd,swin_t@torchvision,trso,Proposal,"0,1,2",32,50,150,7.65
17,4,VOC2007 / MobileNetV3-S,voc2007,mobilenet_v3_small@torchvision,ml_decoder,ML-Decoder,"0,1,2",32,50,150,7.65
18,1,DTD / ResNet-18,dtd,resnet18@torchvision,prompt,Visual Prompting,"0,1,2",32,18,54,7.65
18,2,DTD / ResNet-50,dtd,resnet50@torchvision,piggyback,Piggyback,"0,1,2",16,36,108,7.65
18,3,DTD / ViT-B16,dtd,vit_b_16@torchvision,vpt_deep,VPT-Deep,"0,1,2",8,49,147,7.65
18,4,Pet / Swin-T,oxfordiiitpet,swin_t@torchvision,trso,Proposal,"0,1,2",32,50,150,7.65
